label,rep,seed,actual_seed,n_elig,rate_1yr,rate_3yr,rate_6yr,rate_9yr,gamma_loss,offense_loss,ci95_lo_1yr,ci95_hi_1yr,ci95_halfwidth_1yr,ci95_lo_3yr,ci95_hi_3yr,ci95_halfwidth_3yr,ci95_lo_6yr,ci95_hi_6yr,ci95_halfwidth_6yr,ci95_lo_9yr,ci95_hi_9yr,ci95_halfwidth_9yr,tier_3yr_Low,share_Low,tier_3yr_LowModerate,share_LowModerate,tier_3yr_Moderate,share_Moderate,tier_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
baseline,5,863,50863,16412,0.372,0.655,0.78,0.808,0.1498405365144686,0.0318255518617774,0.36480194945903427,0.3795912956609722,0.007394673100968974,0.6473328724603826,0.6618806374945381,0.007273882517077723,0.7736365344432095,0.7863103890212566,0.006336927289023575,0.8023400970496687,0.8143812533805158,0.006020578165423562,0.6638743455497382,0.290945649524738,0.6488614963191235,0.3558981233243968,0.6565605095541401,0.23915427735803071,0.6451095670764297,0.11400194979283451,0.6634829672078956,0.7663164597262019,0.7901942056669851,0.654386429896634,0.7771004505698383,0.7996289424860853,0.65426114151681,0.7912431587177482,0.8215793588741204,0.646793425717048,0.7744118594908154,0.8105059619722849
baseline,5,971,50971,16144,0.376,0.66,0.784,0.813,0.13711240463073116,0.028714602023588498,0.368426084385654,0.3833673689263973,0.007470642270371641,0.6526528319369416,0.6672660852761179,0.0073066266695881454,0.7774661891207312,0.7901638525313989,0.006348831705333846,0.8065930720009515,0.8186298060832624,0.006018367041155437,0.6484990419416649,0.29094400396432113,0.6670146137787056,0.3560455896927651,0.661741835147745,0.23897423191278494,0.6637696903856599,0.11403617443012884,0.6534749034749034,0.7577220077220077,0.7844272844272844,0.6613259668508288,0.7883977900552486,0.8157458563535912,0.6584197924980048,0.7918595371109337,0.8215482841181165,0.6680418914630276,0.7886385274516027,0.8194224055855284
baseline,5,1087,51087,16237,0.369,0.655,0.778,0.808,0.14564784048708604,0.0293355963254369,0.36176579989859486,0.3766098271378759,0.007422013619640511,0.647390087798082,0.6620150602701067,0.007312486236012328,0.7712693424583029,0.7840590218057756,0.00639483967373633,0.8020250371146063,0.8141376129786007,0.006056287931997195,0.6519898391193903,0.29094044466342306,0.6549039958484691,0.35603867709552256,0.6543814432989691,0.23896039908850156,0.661987041036717,0.11406047915255281,0.6480519480519481,0.7542207792207792,0.775974025974026,0.6604336043360434,0.778319783197832,0.8084010840108401,0.6562401263823064,0.7868878357030016,0.8213270142180095,0.6515779407076825,0.7816385081287854,0.8128785463818935
baseline,6,42,60042,16114,0.369,0.66,0.78,0.809,0.1472570257490321,0.028568650009247715,0.3613303913128703,0.376227520907833,0.00744856479748135,0.652945320643873,0.6675690588993531,0.007311869127740067,0.7734799350557893,0.7862724327798645,0.006396248862037601,0.8025918604825043,0.8147364547430281,0.006072297130261917,0.6577095329494562,0.29098920193620453,0.6623082287308228,0.3559637582226635,0.670301142263759,0.23904679160978032,0.6396298312465977,0.11400024823135162,0.6615136876006441,0.7555555555555555,0.7777777777777778,0.6678331090174966,0.7814266487213998,0.8069986541049798,0.6592748462285529,0.7916801553900938,0.8217869860796374,0.6521181001283697,0.7792041078305519,0.8157894736842105
baseline,6,137,60137,16225,0.371,0.66,0.784,0.814,0.14495024213911445,0.02863272262943421,0.3638758305555274,0.37874289091871505,0.007433530181593817,0.6527666778101927,0.6673424296691729,0.007287875929490095,0.7780120590546689,0.7906668539245545,0.006327397434942816,0.8076173273825351,0.8195993434610573,0.005991008039261114,0.6583350984960813,0.2909707241910632,0.6660318559556787,0.3559938366718028,0.6614234141309954,0.23901386748844375,0.6432432432432432,0.1140215716486903,0.6580310880829016,0.7626295336787565,0.7856217616580311,0.6701715550636413,0.7935805201992252,0.8248478140564471,0.6552590266875982,0.786342229199372,0.8158555729984301,0.6603235014272122,0.7913098636219473,0.8239771646051379
baseline,6,251,60251,16280,0.379,0.647,0.775,0.805,0.14774124907549518,0.032809840744819165,0.37138613604228377,0.38628775339176724,0.007450808674741738,0.639800113012408,0.6544793400621047,0.007339613524848354,0.7690171913553409,0.7818356246042545,0.006409216624456815,0.7990658614095347,0.8112323866402376,0.006083262615351415,0.6381676166350011,0.290970515970516,0.6551069703243616,0.356019656019656,0.6548445129786687,0.239004914004914,0.6293103448275862,0.114004914004914,0.650096215522771,0.757857601026299,0.7860808210391277,0.6503589470885403,0.7710715235309759,0.7971284232916778,0.6467963021995538,0.787535862288811,0.8190946764424609,0.641189638631276,0.7742244963223537,0.8062040294211704
baseline,6,389,60389,16243,0.372,0.654,0.778,0.806,0.15102787966490044,0.029035225333498615,0.3648801356436693,0.37974715240719714,0.007433508381763931,0.646158736474256,0.6607932313469849,0.007317247436364416,0.7715400255393345,0.7843218596408594,0.006390917050762446,0.7995441385118384,0.811713128869903,0.006084495179032312,0.6639864578925095,0.29095610416794926,0.648971122254885,0.35603028997106445,0.6501803194229778,0.23899525949639844,0.6479481641468683,0.11401834636458782,0.6420472951085195,0.7473275024295433,0.7755102040816326,0.6611859838274933,0.778167115902965,0.8016172506738545,0.6562696912413358,0.7893824826717076,0.8204158790170132,0.6500968366688186,0.7850225952227243,0.8105229180116204
baseline,6,503,60503,16335,0.376,0.66,0.78,0.811,0.14982408649555687,0.03128246230084675,0.3684822975027389,0.3833360933432803,0.007426897920270681,0.6522002862822252,0.6667329727316818,0.0072663432247283,0.7739343995436366,0.7866316567427526,0.006348628599557982,0.8051904908457309,0.8171914532940544,0.006000481224161747,0.6709446665264044,0.29097030915212735,0.6545141874462597,0.3559840832568105,0.6570184426229508,0.23899602081420263,0.6511003757380569,0.1140495867768595,0.648420394119487,0.7503909915545824,0.7719737253675321,0.66,0.7759459459459459,0.8089189189189189,0.661847894406034,0.7905405405405406,0.8236957888120678,0.6655823031880286,0.7957059206245933,0.8292127521145087
baseline,6,617,60617,16188,0.377,0.663,0.784,0.812,0.14659332402584788,0.029747172146426814,0.3696949131830744,0.3846258059623006,0.007465446389613106,0.6556404309296149,0.6702026776146288,0.007281123342506968,0.7778812836027544,0.7905531309236327,0.006335923660439113,0.8057412952669429,0.8177825909845133,0.0060206478587852,0.6664543524416136,0.2909562638991846,0.6642373763664758,0.356004447739066,0.666322047040579,0.2390042006424512,0.643011917659805,0.11403508771929824,0.6492078887811187,0.748464274167475,0.7714193339799548,0.6706040268456376,0.7871140939597315,0.8123489932885906,0.6648927592323819,0.7922915658764715,0.8198677632639897,0.6636162827390344,0.8002524455664247,0.8349637109498265
baseline,6,743,60743,16109,0.377,0.658,0.779,0.81,0.14535695975455235,0.02823780694131268,0.36966400294470314,0.3846313536235636,0.007483675339430229,0.6504676272598429,0.6651191653267607,0.00732576903345894,0.7727828380192361,0.785591669926029,0.0064044159533964695,0.8039756183959186,0.8160888151798449,0.006056598391963153,0.6535097077021549,0.29095536656527404,0.6678291194420227,0.35601216711155254,0.6475324675324675,0.23899683406791233,0.6592270005443658,0.11403563225526103,0.6591349257585539,0.7585539057456423,0.7853453841187863,0.654015401540154,0.778052805280528,0.8105060506050605,0.663827735818737,0.7943114253575446,0.8225936043708822,0.6491116751269036,0.771256345177665,0.8093274111675127
